main_category,subcategory,sub_subcategory,author_name,date,volume,page
bibliography,,,Lydgate,1430,I,3-43
bibliography,,,Hawes,1506,I,67
bibliography,,,Leland,[c. 1545],IV,17
bibliography,,,Bale,1548,IV,19-20
bibliography,,,Bale,1598,I,22-24
bibliography,,,Thynne,1598,I,155
bibliography,,,Stow,1600,I,159-160
bibliography,,,Stow,1600,I,165
bibliography,,,Pits,1613,IV,65
bibliography,,,Bagford,1709,I,297
bibliography,,,Hearne,1708-15,I,296-337
bibliography,,,Ames,1749,I,398-399
bibliography,,,Herbert,1785,I,477-478
bibliography,,,Herbert,1786,I,483
bibliography,,,Herbert,1790,I,491
bibliography,,,Griffiths,1815,II,69
bibliography,,,Dibdin,1809,IV,103
bibliography,,,Dibdin,1810,II,49
bibliography,,,Dibdin,1811,IV,103
bibliography,,,Dibdin,1815,II,69
bibliography,,,Dibdin,1817,II,87
bibliography,,,Dibdin,1824,II,149-150
bibliography,,,Watt,[a. 1819],II,120
bibliography,,,Hartshorne,1829,II,172
bibliography,,,Scott,[n.a. 1832],II,186
bibliography,,,Unknown,1834-6,II,193
bibliography,,,Lowndes,1834,II,192
bibliography,,,Unknown,1834,II,193
bibliography,,,Douce,1840,II,226
bibliography,,,Collier,1865,III,75-76
