main_category,subcategory,sub_subcategory,author_name,date,volume,page
criticism,prose,,Gray,1835,II,195
criticism,prose,,Guest,1838,II,223-224
criticism,prose,,Steevens,1796,I,498-499
criticism,prose,,Bulwer,1860,III,53
criticism,prose,,Keightley N. & Q.,1865,III,65
criticism,prose,,Collier,1865,III,75-76
criticism,evolution,,Hippisley,1837,II,213-14
criticism,evolution,,Baynes,1870,III,99-107
criticism,evolution,,Horne,1841,II,235-238
criticism,evolution,,Sewell,1720,I,351-352
criticism,evolution,,Headley,1787,I,486
criticism,evolution,,Unknown,1836,II,208
criticism,evolution,,Smith,1862,III,65-66
criticism,evolution,,Legouis,1908,V,113-119
criticism,evolution,,Baynes,1870,III,99-107
criticism,evolution,,Furnivall,1888,III,138
criticism,influence,,Arthur Broke,1562,IV,29-33
criticism,influence,,William Browne,1613-16,IV,62
criticism,influence,,Lyly,[1578],IV,41-42
criticism,influence,,Upton,1748,I,396-398
criticism,influence,,Shakespeare,[1589-1603],IV,45-46
criticism,influence,,Spenser,1579,I,118-119
criticism,influence,,Howard,[n.a. 1547],IV,19
criticism,influence,,Wyatt,[a. 1542],IV,12
criticism,influence,,[Chapman,1606,IV,57-60
criticism,general,,Webbe,1586,I,129
criticism,general,,Dryden,1700,I,272-285
criticism,general,,Warton,1774,I,439-341
criticism,general,,Eschenburg (?),1793,V,135-137
criticism,general,,Southey,1814,II,66-67
criticism,general,,C.B.,1818,II,94
criticism,general,,Coleridge,1818,II,95-96
criticism,general,,Hallam,1818,II,97
criticism,general,,Hazlitt,1818,II,98-106
criticism,general,,Campbell,1819,II,110-113
criticism,general,,Hazlitt,1824,II,150
criticism,general,,Unknown,1824,II,153-155
criticism,general,,Neele,1827,II,166
criticism,general,,Southey,1831,II,183
criticism,general,,Hunt,1835,II,195-196
criticism,general,,Hallam,1837,II,212
criticism,general,,Hippisley,1837,II,212-217
criticism,general,,Villemain,1830,V,45-47
criticism,general,,Villemain,1837,V,50
criticism,general,,D’Israeli,1841,II,231-233
criticism,general,,Barrett-Browning,1842,II,242-243
criticism,general,,Thoreau,1843,II,250-252
criticism,general,,Hunt,1844,II,253-255
criticism,general,,North,1845,II,262-263
criticism,general,,Hunt,1846,II,269-271
criticism,general,,Case,1854,III,15-17
criticism,general,,Milman,1855,III,23-25
criticism,general,,Unknown,1859,III,51-52
criticism,general,,Sandras,1859,V,69-74
criticism,general,,Unknown,1862,III,66
criticism,general,,Taine,1863,V,76-79
criticism,general,,Smith,1863,III,70-71
criticism,general,,Maurice,1865,III,78-79
criticism,general,,Baynes,1870,III,98-107
criticism,general,,Lowell,1870,III,108-111
criticism,general,,Furnivall,1873,III,113-114
criticism,general,,Green,1874,III,117-119
criticism,general,,Ward,1879,III,124-126
criticism,general,,Arnold,1880,III,126-130
criticism,general,,Swinburne,1880,III,131-132
criticism,general,,Lounsbury,1891,III,140-144
criticism,general,,Pollard,1893,III,144-145
criticism,general,,Jusserand,1894,V,97-100
criticism,general,,Jusserand,1896,V,104-106
criticism,general,,Ker,1895,III,148-50
criticism,general,,Gebhart,1907,V,107-109
criticism,general,,Legouis,1908,V,113-119
criticism,qualities,eloquence,Lydgate,[1400],I,14-15
criticism,qualities,eloquence,Lydgate,[c. 1400],I,15
criticism,qualities,eloquence,Lydgate,[c. 1401],I,15
criticism,qualities,eloquence,Lydgate,[1402-3],I,15-16
criticism,qualities,eloquence,Lydgate,[c. 1403?],I,16-17
criticism,qualities,eloquence,Lydgate,[1403?],I,17-18
criticism,qualities,eloquence,Lydgate,[1409-10?],I,19-20
criticism,qualities,eloquence,Lydgate,[1412-20],I,23-25
criticism,qualities,eloquence,Lydgate,1430,I,36-43
criticism,qualities,eloquence,Walton,1410,I,20
criticism,qualities,eloquence,Hoccleve,1412,I,21
criticism,qualities,eloquence,James I.,1423,I,34
criticism,qualities,eloquence,Unknown,[c. 1440],I,45
criticism,qualities,eloquence,Shirley,[c. 1450],I,49
criticism,qualities,eloquence,Unknown,[1450-60?],I,53
criticism,qualities,eloquence,Unknown,[a. 1477],I,57
criticism,qualities,eloquence,Caxton,[a. 1479],I,58
criticism,qualities,eloquence,Dunbar,1503,I,66
criticism,qualities,eloquence,Hawes,[1503-4],I,66
criticism,qualities,eloquence,Bradshaw,1513,I,71
criticism,qualities,eloquence,Douglas,1513,I,71-72
criticism,qualities,eloquence,Skelton,1523,I,74
criticism,qualities,eloquence,Unknown,[1525?],I,75
criticism,qualities,eloquence,Grange,1577,I,107
criticism,qualities,happinessCheerfulness,Spenser,1590-96,I,133
criticism,qualities,happinessCheerfulness,Dekker,[1607],I,178
criticism,qualities,happinessCheerfulness,Coleridge,1817,II,85
criticism,qualities,happinessCheerfulness,Coleridge,1834,II,190
criticism,qualities,happinessCheerfulness,Unknown,1842,II,246
criticism,qualities,happinessCheerfulness,Furnivall,1873,III,114
criticism,qualities,happinessCheerfulness,Swinburne,1880,III,131-132
criticism,qualities,observationCharacter,R. Ascham,1552,I,91
criticism,qualities,observationCharacter,Dryden,1700,I,278-279
criticism,qualities,observationCharacter,Hughes,1715,I,340
