main_category,subcategory,sub_subcategory,author_name,date,volume,page
illustrations,stothard,,Douce,1807,II,31
illustrations,stothard,,Hoppner,1807,II,32
illustrations,stothard,,Cromek,1808,II,37
illustrations,stothard,,Blake,1809,II,46
illustrations,stothard,,[Carey,1836,II,203
illustrations,stothard,,Adolphus,1827,II,164-166
illustrations,stothard,,Dibdin,1836,II,203-4
illustrations,stothard,,Lécluze,1838,V,51-3
illustrations,stothard,,Stothard,[a. 1834],IV,106
illustrations,hooper,,Hooper,1868,III,95
illustrations,hooper,,Hooper,1896,III,150
illustrations,dixon,,Dixon,1855,III,21
illustrations,blake,,Blake,1809,II,42-46
illustrations,blake,,Lamb,1810,II,49
illustrations,blake,,Lamb,1824,II,151
illustrations,blake,,Cunningham,1830,IV,106
illustrations,blake,,Dibdin,1836,II,203-204
illustrations,blake,,Jackson,1864,III,74
illustrations,blake,,C.T.,1812,II,56
illustrations,blake,,P.,1812,IV,104
illustrations,burneJones,,Burne-Jones,1858,III,41
illustrations,burneJones,,Burne-Jones,1861,III,55
illustrations,burneJones,,Burne-Jones,1862,III,61
illustrations,burneJones,,Ruskin,1867,III,93
illustrations,burneJones,,Burne-Jones,1864,III,72
illustrations,burneJones,,Burne-Jones,1865,III,75
illustrations,burneJones,,Chaucer,1896,III,150
illustrations,waller,,Waller,1868,III,97
illustrations,hamilton,,Hamilton,1790,IV,98
illustrations,jeffereys,,Jeffereys,[c. 1780?],I,458-459
illustrations,anonymous,,Unknown,1824,II,149
illustrations,corbould,,Corbould,1853,III,12
illustrations,mortimer,,Mortimer,[n.a. 1779],I,447
illustrations,mortimer,,Mortimer,[n.a. 1779],IV,96
