main_category,subcategory,sub_subcategory,author_name,date,volume,page
manuscripts,,,MS,1400,I,26-64
manuscripts,,,MS,1400,IV,4-8
manuscripts,,,Thynne,1598,I,149-155
manuscripts,,,L’Estrange,1669-96,I,245
manuscripts,,,Wanley,1697,IV,81
manuscripts,,,Wanley,1705,I,292-293
manuscripts,,,Hearne,1709,I,297-302
manuscripts,,,Hearne,[1709],I,302-309
manuscripts,,,Hearne,1711,I,315-317
manuscripts,,,Urry,1712,I,325-326
manuscripts,,,Chaucer,1721,I,353-356
manuscripts,,,Sloane,1715,I,335
manuscripts,,,Brome,1715|16,I,341-342
manuscripts,,,Tyrwhitt,1775,I,442
manuscripts,,,[Astle,1759,I,416
manuscripts,,,Unknown,1763,I,424
manuscripts,,,Unknown,1808,II,41-42
manuscripts,,,Todd,1810,II,50
manuscripts,,,Dibdin,1817,II,87
manuscripts,,,[Furnivall,1865,III,76
manuscripts,,,Furnivall,1867,III,89-90
manuscripts,,,Chaucer,1868-77,III,95-6
manuscripts,,,[Baynes,1870,III,98-107
