main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,canon,,Chaucer,1900,III,150-151
works,canon,,Skeat,1900,III,151.
works,editionsCompleteWorks,,Pynson,1526,I,75
works,editionsCompleteWorks,,Chaucer,1532,I,78
works,editionsCompleteWorks,,Collier,1867,III,87
works,editionsCompleteWorks,,Chaucer,1542,I,83
works,editionsCompleteWorks,,Chaucer,[c. 1545],I,86-87
works,editionsCompleteWorks,,Stowe,1561,I,96
works,editionsCompleteWorks,,Drant,1567,I,100
works,editionsCompleteWorks,,Stowe,1567,I,100
works,editionsCompleteWorks,,Speght,1598,I,147
works,editionsCompleteWorks,,Thynne,1598,I,149-155
works,editionsCompleteWorks,,Speght,1602,I,168-170
works,editionsCompleteWorks,,Unknown,1687,I,259
works,editionsCompleteWorks,,Unknown,1689,I,262
works,editionsCompleteWorks,,Urry,1714,I,330-331
works,editionsCompleteWorks,,Sloane,1715,I,335
works,editionsCompleteWorks,,Hearne,1715,I,336
works,editionsCompleteWorks,,Hearne,1716,I,336-337
works,editionsCompleteWorks,,Chaucer,1721,I,353-61
works,editionsCompleteWorks,,Brome,1733,I,375
works,editionsCompleteWorks,,Entick,1736,I,377-378
works,editionsCompleteWorks,,Johnson,[c. 1750],I,401
works,editionsCompleteWorks,,Chaucer,1782,I,464-465
works,editionsCompleteWorks,,Tyrwhitt,1783,I,474-475
works,editionsCompleteWorks,,[Anderson,1793,I,494
works,editionsCompleteWorks,,Chaucer,1807,II,29
works,editionsCompleteWorks,,Chaucer,1810,II,48
works,editionsCompleteWorks,,Chalmers,1810,II,48-49
works,editionsCompleteWorks,,Chaucer,1822,II,136
works,editionsCompleteWorks,,Moxon,1843,II,246
works,editionsCompleteWorks,,Chaucer,1845,II,258
works,editionsCompleteWorks,,Chaucer,1854-6,III,15
works,editionsCompleteWorks,,Chaucer,1864,III,71-72
works,editionsCompleteWorks,,Chaucer,1866,III,81
works,editionsCompleteWorks,,Chaucer,1878,III,123
works,editionsCompleteWorks,,Chaucer,1878-80,III,123-124
works,editionsCompleteWorks,,Skeat,1894-7,III,146-8
works,editionsCompleteWorks,,Chaucer,1896,III,150
works,editionsCompleteWorks,,Chaucer,1898,III,150
works,editionsCompleteWorks,,Düring,1883-6,V,150.
works,lostWorks,,Lydgate,1430,I,36-43
works,lostWorks,,Warton,1787,I,487
works,lostWorks,,Ritson,1790,I,491.
works,anthologies,,Hunt,1835,II,195-196
works,anthologies,,Unknown,1851,III,8.
works,chronology,,ten Brink,1870,V,147-148
works,chronology,,Minto,1874,III,119
works,chronology,,Furnivall,1873,III,113
works,chronology,,Koch,1890,III,139.
works,selections,,Pinkerton,1783,I,473
works,selections,,Sanford,1819,II,119
works,selections,,Southey,1831,II,183
works,selections,,Deshler,1847,II,274.
works,otherSeparateWorks,complaintVenus,Shirley,[c. 1450],I,48
works,otherSeparateWorks,complaintVenus,Unknown,[c. 1488],I,63-64
works,otherSeparateWorks,complaintVenus,Bell,1841,II,234.
works,otherSeparateWorks,bookDuchess,Unknown,[c. 1600],I,166
works,otherSeparateWorks,bookDuchess,Lydgate,1430,I,36-43
works,otherSeparateWorks,bookDuchess,Bossewell,1572,I,108
works,otherSeparateWorks,bookDuchess,Froissart,[1385?],V,123
works,otherSeparateWorks,bookDuchess,Lange,1883,V,150.
works,otherSeparateWorks,parliamentFowls,Unknown,[c. 1488],I,64
works,otherSeparateWorks,parliamentFowls,H.,1839,II,225
works,otherSeparateWorks,parliamentFowls,Chaucer,[1477-8],I,58
works,otherSeparateWorks,parliamentFowls,Chaucer,1526,I,75
works,otherSeparateWorks,parliamentFowls,Chaucer,1530,I,76
works,otherSeparateWorks,parliamentFowls,Lydgate,1430,I,36-43
works,otherSeparateWorks,parliamentFowls,Heywood,1533,I,81
works,otherSeparateWorks,parliamentFowls,Spenser,1590-6,I,133
works,otherSeparateWorks,parliamentFowls,Stowe,[c. 1600],I,164
works,otherSeparateWorks,parliamentFowls,ff.,1846,V,142
works,otherSeparateWorks,parliamentFowls,Burne-Jones,1861,III,55
works,otherSeparateWorks,parliamentFowls,Thomson,[a. 1803],II,5-6
works,otherSeparateWorks,parliamentFowls,Ruskin,1865,III,81.
works,otherSeparateWorks,adamScrivener,Shirley,[c. 1450],I,48
works,otherSeparateWorks,adamScrivener,Jonson,1614,I,189
works,otherSeparateWorks,adamScrivener,Child,1862,III,61-62.
works,otherSeparateWorks,abc,J.,1860,III,53
works,otherSeparateWorks,abc,Speght,1602,I,168-170
works,otherSeparateWorks,abc,Lydgate,[1426],I,34-35
works,otherSeparateWorks,abc,Chatelain,1857-61,V,66-69.
works,otherSeparateWorks,boethius,Shirley,[c. 1450],I,49
works,otherSeparateWorks,boethius,Chaucer,[a. 1479],I,58
works,otherSeparateWorks,boethius,Caxton,[a. 1479],I,58
works,otherSeparateWorks,boethius,Lydgate,1430,I,36-43
works,otherSeparateWorks,boethius,Brinchele,1420,I,25.
works,otherSeparateWorks,truth,Shirley,[c. 1450],I,48
works,otherSeparateWorks,truth,Unknown,[c. 1488],I,63
works,otherSeparateWorks,truth,Unknown,[1543?],I,85
works,otherSeparateWorks,truth,Unknown,[c. 1450],IV,7
works,otherSeparateWorks,truth,Chaucer,[1477-8],I,58
works,otherSeparateWorks,truth,Tottel,1557,I,94
works,otherSeparateWorks,truth,Furnivall,1867,III,88
works,otherSeparateWorks,truth,Harte,1727,IV,84
works,otherSeparateWorks,truth,Unknown,1815,II,80-81
works,otherSeparateWorks,truth,Milnes,1844,II,256
works,otherSeparateWorks,truth,Fox,1841,II,233
works,otherSeparateWorks,truth,Beaumont,[1610],I,184.
works,otherSeparateWorks,mercilessBeauty,Percy,1765,I,426-429
works,otherSeparateWorks,proverbs,Chaucer,[c. 1450],I,50.
works,otherSeparateWorks,buktonEnvoy,Unknown,[c. 1445],I,47
works,otherSeparateWorks,buktonEnvoy,Chaucer,[1499-1502],I,65.
works,otherSeparateWorks,houseFame,Chaucer,[c. 1483],I,61
works,otherSeparateWorks,houseFame,Caxton,[c. 1483],I,61
works,otherSeparateWorks,houseFame,Pynson,1526,I,75
works,otherSeparateWorks,houseFame,Willert,1888,V,151
works,otherSeparateWorks,houseFame,Lydgate,1439,I,44
works,otherSeparateWorks,houseFame,Hawes,1506,I,67
works,otherSeparateWorks,houseFame,Unknown,[c. 1540],I,83
works,otherSeparateWorks,houseFame,Baldwin,[1561],I,95-96
works,otherSeparateWorks,houseFame,Bossewell,1572,I,109
works,otherSeparateWorks,houseFame,[Shakespeare,[1589-90?],I,131
works,otherSeparateWorks,houseFame,Peele,1593,I,140
works,otherSeparateWorks,houseFame,Thynne,1600,I,166
works,otherSeparateWorks,houseFame,Jonson,[1609],I,184
works,otherSeparateWorks,houseFame,Jonson,[1625?],I,199
works,otherSeparateWorks,houseFame,Campbell,1819,II,112-113
works,otherSeparateWorks,houseFame,Unknown,1832,II,187
works,otherSeparateWorks,houseFame,Gomont,1847,V,56
works,otherSeparateWorks,houseFame,ff.,1877,V,148-149
works,otherSeparateWorks,houseFame,Crow,1892,V,152
works,otherSeparateWorks,houseFame,Unknown,1854,III,19-20
works,otherSeparateWorks,complaintMars,Shirley,[c. 1450],I,48
